special_token_size	1
token_size	5970
singleton_size	2311
singleton_max_count	1
356	completely	34
357	graphics	34
358	away	34
359	see	34
360	programs	34
361	outstanding	34
362	overpriced	34
363	prompt	34
364	lobster	34
365	seafood	34
366	months	33
367	buy	33
368	pro	33
369	pc	33
370	os	33
371	kind	33
372	else	33
373	probably	33
374	left	33
375	almost	33
376	french	33
377	bland	33
378	salmon	33
379	date	33
380	few	32
381	?	32
382	course	32
383	product	32
384	outside	32
385	appetizers	32
386	entree	32
387	light	31
388	able	31
389	old	31
390	thought	31
391	design	31
392	simply	31
393	something	31
394	sometimes	31
395	neighborhood	31
396	crust	31
397	tasted	31
398	flavor	31
399	salads	31
400	yummy	31
401	using	30
402	fact	30
403	customer	30
404	places	30
405	impressed	30
406	bought	30
407	getting	30
408	seems	30
409	house	30
410	steak	30
411	pasta	30
412	cold	30
413	mouse	29
414	keep	29
415	gets	29
416	part	29
417	these	29
418	home	29
419	helpful	29
420	half	29
421	friend	29
422	disappointed	29
423	bagels	29
424	sake	29
425	portion	29
426	soup	29
427	machine	28
428	several	28
429	run	28
430	yes	28
431	anyone	28
432	rather	28
433	husband	28
434	family	28
435	waiters	28
436	ingredients	28
437	pleasant	28
438	bread	28
439	chinese	28
440	lamb	28
441	drink	28
442	prepared	28
443	touch	27
444	pay	27
445	casual	27
446	above	27
447	anything	27
448	deal	27
449	expect	27
450	cute	27
451	cozy	27
452	chef	27
453	dumplings	27
454	specials	27
455	location	27
456	mediocre	27
457	usually	26
458	speed	26
459	hours	26
460	warranty	26
461	terrific	26
462	least	26
463	plus	26
464	main	26
465	give	26
466	sandwich	26
467	toshiba	25
468	hour	25
469	internet	25
470	terrible	25
471	runs	25
472	her	25
473	his	25
474	crowded	25
475	tiny	25
476	next	24
477	fix	24
478	set	24
479	free	24
480	minutes	24
481	support	24
482	might	24
483	year	24
484	easily	24
485	expected	24
486	super	24
487	often	24
488	either	24
489	extensive	24
490	limited	24
491	she	24
492	spectacular	24
493	garden	24
494	seated	24
495	seating	24
496	reviews	24
497	offers	23
498	'll	23
499	needs	23
500	nt	23
501	built	23
502	itself	23
503	looks	23
504	week	23
505	ask	23
506	beer	23
507	tables	23
508	beef	23
509	group	23
510	pork	23
511	applications	22
512	open	22
513	called	22
514	wanted	22
515	quickly	22
516	replaced	22
517	style	22
518	+	22
519	couple	22
520	display	22
521	low	22
522	those	22
523	card	22
524	professional	22
525	manager	22
526	seen	22
527	evening	22
528	grilled	22
529	crab	22
530	town	22
531	waitress	22
532	sum	22
533	ny	22
534	reasonably	22
535	serve	22
536	entire	21
537	operating	21
538	loud	21
539	memory	21
540	type	21
541	sound	21
542	three	21
543	awful	21
544	fabulous	21
545	clean	21
546	except	21
547	thin	21
548	everyone	21
549	sit	21
550	server	21
551	wines	21
552	sashimi	21
553	green	21
554	eaten	21
555	visit	21
556	laptops	20
557	past	20
558	including	20
559	incredibly	20
560	put	20
561	interesting	20
562	liked	20
563	quiet	20
564	die	20
565	business	20
566	view	20
567	someone	20
568	disappointing	20
569	creative	20
570	slightly	20
571	setting	20
572	cuisine	20
573	variety	20
574	dim	20
575	busy	20
576	bartender	20
577	la	20
578	fan	19
579	seemed	19
580	started	19
581	four	19
582	cost	19
583	through	19
584	check	19
585	done	19
586	unique	19
587	offer	19
588	inside	19
589	comfortable	19
590	late	19
591	saturday	19
592	loved	19
593	live	19
594	*	19
595	plate	19
596	servers	19
597	conversation	19
598	east	19
599	bagel	19
600	waitstaff	19
601	wife	19
602	superb	19
603	running	18
604	office	18
605	asked	18
606	until	18
607	games	18
608	sent	18
609	issue	18
610	video	18
611	whole	18
612	reason	18
613	end	18
614	notch	18
615	each	18
616	front	18
617	said	18
618	sitting	18
619	considering	18
620	hands	18
621	noodles	18
622	manhattan	18
623	wrong	18
624	oily	18
625	pricey	18
626	dark	17
627	gaming	17
628	program	17
629	purchase	17
630	hp	17
631	oh	17
632	doing	17
633	wo	17
634	carry	17
635	wish	17
636	fancy	17
637	netbook	17
638	short	17
639	second	17
640	extra	17
641	arrived	17
642	black	17
643	looked	17
644	regular	17
645	blue	17
646	coming	17
647	person	17
648	stuff	17
649	recently	17
650	exceptional	17
651	eating	17
652	owner	17
653	consistently	17
654	bottle	17
655	relaxed	17
656	sea	17
657	dogs	17
658	felt	17
659	certainly	17
660	outdoor	17
661	traditional	17
662	village	17
663	meals	17
664	dry	17
665	tasting	17
666	desserts	17
667	intimate	17
668	lots	16
669	usb	16
670	finally	16
671	help	16
672	word	16
673	dell	16
674	white	16
675	feature	16
676	compared	16
677	fairly	16
678	included	16
679	during	16
680	solid	16
681	point	16
682	piece	16
683	lack	16
684	lovely	16
685	vibe	16
686	affordable	16
687	sat	16
688	bistro	16
689	filet	16
690	accomodating	16
691	bill	16
692	typical	16
693	soggy	16
694	shabu	16
695	totally	16
696	ate	16
697	’	16
698	gorgeous	15
699	start	15
700	barely	15
701	key	15
702	web	15
703	paid	15
704	issues	15
705	due	15
706	longer	15
707	cd	15
708	dvd	15
709	port	15
710	company	15
711	received	15
712	etc	15
713	plenty	15
714	instead	15
715	rest	15
716	lacking	15
717	previous	15
718	anywhere	15
719	feeling	15
720	duck	15
721	chocolate	15
722	cafe	15
723	party	15
724	mini	15
725	curry	15
726	slice	15
727	fries	15
728	meat	15
729	stopped	14
730	hardware	14
731	microsoft	14
732	ease	14
733	making	14
734	believe	14
735	customers	14
736	keys	14
737	desktop	14
738	mind	14
739	processor	14
740	early	14
741	higher	14
742	change	14
743	gave	14
744	truly	14
745	weeks	14
746	close	14
747	ram	14
748	perfectly	14
749	modern	14
750	despite	14
751	save	14
752	fair	14
753	kitchen	14
754	goat	14
755	entrees	14
756	cake	14
757	hostess	14
758	recommended	14
759	hand	14
760	summer	14
761	toppings	14
762	potatoes	14
763	charge	13
764	external	13
765	month	13
766	reliable	13
767	vista	13
768	mention	13
769	fixed	13
770	shows	13
771	ports	13
772	sleek	13
773	store	13
774	told	13
775	watching	13
776	percentage	13
777	unlike	13
778	given	13
779	speakers	13
780	matter	13
781	girlfriend	13
782	relax	13
783	write	13
784	inexpensive	13
785	gives	13
786	seem	13
787	return	13
788	choice	13
789	below	13
790	brooklyn	13
791	street	13
792	calamari	13
793	filling	13
794	literally	13
795	nights	13
796	ravioli	13
797	homemade	13
798	water	13
799	cream	13
800	jazz	13
801	belly	13
802	joint	13
803	visiting	13
804	bbq	13
805	caviar	13
806	bathroom	13
807	unless	12
808	boot	12
809	under	12
810	ago	12
811	knew	12
812	forget	12
813	beat	12
814	available	12
815	computers	12
816	add	12
817	notebook	12
818	user	12
819	management	12
820	easier	12
821	why	12
822	own	12
823	level	12
824	worked	12
825	repair	12
826	noisy	12
827	let	12
828	tell	12
829	juice	12
830	okay	12
831	attractive	12
832	impressive	12
833	ordering	12
834	saw	12
835	choices	12
836	soft	12
837	fare	12
838	reservation	12
839	personal	12
840	salty	12
841	vegetables	12
842	relaxing	12
843	scene	12
844	plain	12
845	scallops	12
846	brunch	12
847	mouth	12
848	upon	12
849	lousy	12
850	pastas	12
851	delightful	12
852	freshest	12
853	courteous	12
854	spinach	12
855	pancakes	12
856	red	12
857	motherboard	11
858	trying	11
859	touchpad	11
860	mother	11
861	board	11
862	shipping	11
863	spend	11
864	maybe	11
865	play	11
866	supply	11
867	clear	11
868	trackpad	11
869	needed	11
870	faster	11
871	opinion	11
872	starter	11
873	buttons	11
874	care	11
875	waiting	11
876	call	11
877	consider	11
878	amazed	11
879	fully	11
880	wireless	11
881	bring	11
882	occasion	11
883	door	11
884	larger	11
885	relatively	11
886	greatest	11
887	t	11
888	please	11
889	basic	11
890	twice	11
891	hang	11
892	smile	11
893	selections	11
894	establishment	11
895	pastrami	11
896	mizu	11
897	owners	11
898	pick	11
899	delight	11
900	avenue	11
901	mushroom	11
902	perfection	11
903	eggplant	11
904	charming	11
905	sandwiches	11
906	cramped	11
907	coffee	11
908	particularly	11
909	empty	11
910	suan	11
911	eggs	11
912	crispy	11
913	packed	11
914	rush	11
915	egg	11
916	disgusting	11
917	satisfied	10
918	brand	10
919	trouble	10
920	upgraded	10
921	connect	10
922	phone	10
923	generally	10
924	amount	10
925	become	10
926	lightweight	10
927	box	10
928	promptly	10
929	enjoying	10
930	nearly	10
931	major	10
932	weight	10
933	apps	10
934	complete	10
935	bigger	10
936	failed	10
937	college	10
938	myself	10
939	heard	10
940	read	10
941	tons	10
942	five	10
943	forgot	10
944	mom	10
945	name	10
946	smaller	10
947	feels	10
948	upper	10
949	tea	10
950	stick	10
951	interior	10
952	mussels	10
953	review	10
954	impeccable	10
955	mozzarella	10
956	tempura	10
957	annoying	10
958	reservations	10
959	fixe	10
960	crowd	10
961	spice	10
962	surprise	10
963	garlic	10
964	lucky	10
965	secret	10
966	share	10
967	lemon	10
968	oil	10
969	boyfriend	10
970	alot	10
971	pieces	10
972	cod	10
973	serving	10
974	tasteless	10
975	chinatown	10
976	seat	10
977	otherwise	10
978	leaves	10
979	hidden	10
980	trip	10
981	together	9
982	installed	9
983	along	9
984	rare	9
985	designed	9
986	within	9
987	editing	9
988	virus	9
989	weird	9
990	factor	9
991	webcam	9
992	volume	9
993	install	9
994	means	9
995	send	9
996	stand	9
997	premium	9
998	book	9
999	takes	9
1000	keeps	9
1001	range	9
1002	loaded	9
1003	heavy	9
1004	pleased	9
1005	build	9
1006	beyond	9
1007	inch	9
1008	others	9
1009	yourself	9
1010	button	9
1011	opened	9
1012	days	9
1013	iphoto	9
1014	exactly	9
1015	learn	9
1016	convenient	9
1017	various	9
1018	walls	9
1019	disk	9
1020	important	9
1021	frozen	9
1022	him	9
1023	unable	9
1024	fit	9
1025	true	9
1026	choose	9
1027	surprised	9
1028	environment	9
1029	complaint	9
1030	items	9
1031	difficult	9
1032	courses	9
1033	classic	9
1034	tastes	9
1035	beers	9
1036	guest	9
1037	tender	9
1038	prix	9
1039	nicest	9
1040	diner	9
1041	host	9
1042	gem	9
1043	disappointment	9
1044	sizes	9
1045	noodle	9
1046	imagine	9
1047	midtown	9
1048	guests	9
1049	bite	9
1050	per	9
1051	tapas	9
1052	ones	9
1053	oysters	9
1054	rushed	9
1055	hip	9
1056	ended	9
1057	potato	9
1058	jekyll	9
1059	hyde	9
1060	saul	9
1061	river	9
1062	veal	9
1063	burgers	9
1064	mashed	9
1065	skip	8
1066	stay	8
1067	hd	8
1068	monitor	8
1069	frustrating	8
1070	certain	8
1071	warrenty	8
1072	died	8
1073	charger	8
1074	extended	8
1075	poorly	8
1076	playing	8
1077	acer	8
1078	replace	8
1079	products	8
1080	drawback	8
1081	somehow	8
1082	mostly	8
1083	resolution	8
1084	bright	8
1085	core	8
1086	intel	8
1087	version	8
1088	worry	8
1089	waited	8
1090	portable	8
1091	expectations	8
1092	provides	8
1093	charm	8
1094	tech	8
1095	processing	8
1096	hate	8
1097	particular	8
1098	model	8
1099	number	8
1100	treated	8
1101	possible	8
1102	pictures	8
1103	already	8
1104	worse	8
1105	efficient	8
1106	specs	8
1107	personally	8
1108	suggest	8
1109	speedy	8
1110	connection	8
1111	complain	8
1112	standard	8
1113	beautifully	8
1114	class	8
1115	plan	8
1116	purchased	8
1117	s	8
1118	experienced	8
1119	watch	8
1120	taken	8
1121	resturant	8
1122	supposed	8
1123	center	8
1124	star	8
1125	cut	8
1126	beginning	8
1127	job	8
1128	head	8
1129	planet	8
1130	entertainment	8
1131	spreads	8
1132	walking	8
1133	ray	8
1134	pudding	8
1135	young	8
1136	popular	8
1137	hungry	8
1138	presented	8
1139	pie	8
1140	attitude	8
1141	surprising	8
1142	phenomenal	8
1143	volare	8
1144	pizzas	8
1145	surprisingly	8
1146	following	8
1147	complimentary	8
1148	elegant	8
1149	guy	8
1150	vegetarian	8
1151	burger	8
1152	eats	8
1153	burnt	8
1154	pizzeria	8
1155	buffet	8
1156	maitre	8
1157	d	8
1158	refreshing	8
1159	guys	8
1160	chow	8
1161	mahi	8
1162	laid	8
1163	penne	8
1164	dog	8
1165	crazy	8
1166	casa	8
1167	femme	8
1168	&	8
1169	talk	7
1170	kinda	7
1171	files	7
1172	constantly	7
1173	continued	7
1174	forward	7
1175	bluetooth	7
1176	enormous	7
1177	xp	7
1178	leave	7
1179	construction	7
1180	backlit	7
1181	single	7
1182	guess	7
1183	itunes	7
1184	navigate	7
1185	common	7
1186	glad	7
1187	load	7
1188	wasted	7
1189	exceeded	7
1190	smooth	7
1191	operation	7
1192	likely	7
1193	sharp	7
1194	thats	7
1195	necessary	7
1196	osx	7
1197	functions	7
1198	hdmi	7
1199	interface	7
1200	aluminum	7
1201	bucks	7
1202	i0	7
1203	graphic	7
1204	understand	7
1205	background	7
1206	sized	7
1207	typing	7
1208	line	7
1209	friday	7
1210	superior	7
1211	media	7
1212	uncomfortable	7
1213	wants	7
1214	school	7
1215	delivered	7
1216	0nd	7
1217	condition	7
1218	strong	7
1219	fell	7
1220	correct	7
1221	known	7
1222	rarely	7
1223	option	7
1224	clearly	7
1225	unfortunately	7
1226	students	7
1227	update	7
1228	visited	7
1229	split	7
1230	miss	7
1231	quantity	7
1232	toons	7
1233	dine	7
1234	taiwanese	7
1235	congee	7
1236	somewhat	7
1237	raw	7
1238	knows	7
1239	across	7
1240	counter	7
1241	banana	7
1242	takeout	7
1243	eye	7
1244	lasagna	7
1245	mignon	7
1246	st.	7
1247	bass	7
1248	roti	7
1249	positive	7
1250	b	7
1251	subpar	7
1252	sangria	7
1253	avoid	7
1254	presentation	7
1255	overly	7
1256	birthday	7
1257	thoroughly	7
1258	fusion	7
1259	self	7
1260	remember	7
1261	tomato	7
1262	basil	7
1263	appetizing	7
1264	sooo	7
1265	foods	7
1266	combinations	7
1267	changed	7
1268	baked	7
1269	square	7
1270	clams	7
1271	sauces	7
1272	plentiful	7
1273	martini	7
1274	chips	7
1275	salt	7
1276	requests	7
1277	sunday	7
1278	comfort	7
1279	reviewer	7
1280	inedible	7
1281	tend	7
1282	spent	7
1283	shared	7
1284	cheeses	7
1285	sides	7
1286	gigantic	7
1287	walked	7
1288	freindly	7
1289	patio	7
1290	delectable	7
1291	mean	7
1292	quaint	7
1293	rao	7
1294	private	7
1295	memorable	7
1296	seattle	7
1297	foie	7
1298	gras	7
1299	innovative	7
1300	sliced	7
1301	recent	7
1302	overlooked	7
1303	fill	7
1304	co-workers	7
1305	mine	7
1306	tacos	7
1307	breakfast	7
1308	turned	6
1309	crashed	6
1310	added	6
1311	drivers	6
1312	refused	6
1313	documents	6
1314	pcs	6
1315	intuitive	6
1316	browsing	6
1317	charged	6
1318	color	6
1319	stars	6
1320	complaints	6
1321	break	6
1322	online	6
1323	mic	6
1324	fiance	6
1325	tax	6
1326	buying	6
1327	replacement	6
1328	ilife	6
1329	missing	6
1330	plug	6
1331	charging	6
1332	im	6
1333	ridiculous	6
1334	storage	6
1335	offered	6
1336	users	6
1337	soon	6
1338	discovered	6
1339	sony	6
1340	components	6
1341	edge	6
1342	macbooks	6
1343	chic	6
1344	based	6
1345	expense	6
1346	lion	6
1347	movies	6
1348	led	6
1349	show	6
1350	updates	6
1351	hope	6
1352	hrs	6
1353	noticed	6
1354	camera	6
1355	depending	6
1356	bother	6
1357	case	6
1358	loves	6
1359	stop	6
1360	froze	6
1361	later	6
1362	ups	6
1363	photos	6
1364	obviously	6
1365	noise	6
1366	ghz	6
1367	throw	6
1368	trendy	6
1369	network	6
1370	fall	6
1371	decided	6
1372	heat	6
1373	gone	6
1374	portability	6
1375	kept	6
1376	additional	6
1377	device	6
1378	serves	6
1379	apart	6
1380	kids	6
1381	compatible	6
1382	biggest	6
1383	deep	6
1384	track	6
1385	reputation	6
1386	alone	6
1387	apparently	6
1388	asus	6
1389	videos	6
1390	budget	6
1391	art	6
1392	overrated	6
1393	difference	6
1394	computing	6
1395	wifi	6
1396	tired	6
1397	stylish	6
1398	kinds	6
1399	general	6
1400	addition	6
1401	agreed	6
1402	wall	6
1403	rock	6
1404	whether	6
1405	normal	6
1406	among	6
1407	folks	6
1408	toast	6
1409	include	6
1410	filled	6
1411	terrace	6
1412	weekends	6
1413	brulee	6
1414	suggestions	6
1415	mess	6
1416	bottles	6
1417	glasses	6
1418	mix	6
1419	till	6
1420	pm	6
1421	lived	6
1422	bart	6
1423	classy	6
1424	tip	6
1425	walk	6
1426	roxy	6
1427	ultra	6
1428	ceiling	6
1429	attention	6
1430	points	6
1431	hit	6
1432	complained	6
1433	buns	6
1434	pot	6
1435	smoked	6
1436	0th	6
1437	plates	6
1438	slices	6
1439	enjoyable	6
1440	ice	6
1441	third	6
1442	request	6
1443	octopus	6
1444	hall	6
1445	greeted	6
1446	roast	6
1447	delicate	6
1448	ignored	6
1449	outrageously	6
1450	stale	6
1451	similar	6
1452	uws	6
1453	arrogant	6
1454	sharing	6
1455	pita	6
1456	inviting	6
1457	friendliest	6
1458	incompetent	6
1459	tips	6
1460	exotic	6
1461	sesame	6
1462	hear	6
1463	guacamole	6
1464	paris	6
1465	scallion	6
1466	healthy	6
1467	mushrooms	6
1468	cook	6
1469	spaghetti	6
1470	grab	6
1471	cakes	6
1472	rich	6
1473	butter	6
1474	further	6
1475	braised	6
1476	unattractive	6
1477	listed	6
1478	desired	6
1479	noir	6
1480	son	6
1481	girl	6
1482	sour	6
1483	martinis	6
1484	wow	6
1485	organic	6
1486	fatty	6
1487	thick	6
1488	lettuce	6
1489	impress	6
1490	seasoned	6
1491	edamame	6
1492	benedict	6
1493	gnocchi	6
1494	afternoon	6
1495	soy	6
1496	appropriate	6
1497	asparagus	6
1498	risotto	6
1499	daring	6
1500	thanks	6
1501	unfriendly	6
1502	lol	6
1503	onion	6
1504	ribs	6
1505	spices	6
1506	views	6
1507	pacifico	6
1508	margherita	6
1509	includes	6
1510	margaritas	6
1511	slot	6
1512	prawns	6
1513	taking	5
1514	cord	5
1515	turn	5
1516	multi-touch	5
1517	properly	5
1518	plugged	5
1519	iphone	5
1520	crashes	5
1521	paying	5
1522	newer	5
1523	country	5
1524	disc	5
1525	speaking	5
1526	systems	5
1527	yeah	5
1528	terms	5
1529	useless	5
1530	saves	5
1531	knowledgeable	5
1532	sales	5
1533	respect	5
1534	security	5
1535	responsive	5
1536	drop	5
1537	garageband	5
1538	colors	5
1539	learning	5
1540	picked	5
1541	older	5
1542	email	5
1543	body	5
1544	chat	5
1545	cheaper	5
1546	cooling	5
1547	ground	5
1548	flawlessly	5
1549	dough	5
1550	daughter	5
1551	hated	5
1552	sense	5
1553	tv	5
1554	useful	5
1555	boots	5
1556	duty	5
1557	stock	5
1558	market	5
1559	grand	5
1560	anyway	5
1561	broke	5
1562	tag	5
1563	future	5
1564	ideal	5
1565	options	5
1566	broken	5
1567	upgrade	5
1568	constant	5
1569	macs	5
1570	straight	5
1571	organized	5
1572	nightmare	5
1573	moderate	5
1574	lie	5
1575	services	5
1576	click	5
1577	window	5
1578	shut	5
1579	plastic	5
1580	covers	5
1581	returned	5
1582	speaker	5
1583	happening	5
1584	downside	5
1585	mark	5
1586	everytime	5
1587	unibody	5
1588	unit	5
1589	spending	5
1590	basics	5
1591	thinks	5
1592	besides	5
1593	provide	5
1594	mbp	5
1595	ac	5
1596	wide	5
1597	english	5
1598	goes	5
1599	shipped	5
1600	moved	5
1601	cause	5
1602	handle	5
1603	desk	5
1604	combination	5
1605	odd	5
1606	finding	5
1607	willing	5
1608	begin	5
1609	adapter	5
1610	sample	5
1611	meats	5
1612	seats	5
1613	wooden	5
1614	downtown	5
1615	finishing	5
1616	upscale	5
1617	crappy	5
1618	bukhara	5
1619	creme	5
1620	shredded	5
1621	ordinary	5
1622	pathetic	5
1623	types	5
1624	unobtrusive	5
1625	near	5
1626	written	5
1627	overbearing	5
1628	earlier	5
1629	tamarind	5
1630	melt	5
1631	lox	5
1632	esp	5
1633	corner	5
1634	surprises	5
1635	patient	5
1636	assortment	5
1637	oven	5
1638	claimed	5
1639	sapphire	5
1640	roe	5
1641	isnt	5
1642	tiramisu	5
1643	crew	5
1644	groups	5
1645	heaven	5
1646	roasted	5
1647	frites	5
1648	tomatoes	5
1649	dressed	5
1650	olive	5
1651	truffle	5
1652	watering	5
1653	undercooked	5
1654	bombay	5
1655	boths	5
1656	naan	5
1657	sadly	5
1658	kick	5
1659	waste	5
1660	moderately	5
1661	eater	5
1662	pepper	5
1663	dj	5
1664	flavors	5
1665	west	5
1666	agree	5
1667	melted	5
1668	par	5
1669	urchin	5
1670	rose	5
1671	pub	5
1672	weekend	5
1673	beaten	5
1674	park	5
1675	inventive	5
1676	waitresses	5
1677	wong	5
1678	lovers	5
1679	vegetable	5
1680	tikka	5
1681	champagne	5
1682	ways	5
1683	asking	5
1684	squid	5
1685	favorites	5
1686	atmoshere	5
1687	seasonal	5
1688	halibut	5
1689	ashamed	5
1690	varied	5
1691	bargain	5
1692	diverse	5
1693	actors	5
1694	importantly	5
1695	allowed	5
1696	dinners	5
1697	prixe	5
1698	coconut	5
1699	efficiently	5
1700	warn	5
1701	meeting	5
1702	portobello	5
1703	rubber	5
1704	seriously	5
1705	comforting	5
1706	delightfully	5
1707	cheesecake	5
1708	details	5
1709	ew	5
1710	juicy	5
1711	bowl	5
1712	original	5
1713	williamsburg	5
1714	dined	5
1715	strike	5
1716	horrid	5
1717	local	5
1718	walnuts	5
1719	regulars	5
1720	air	5
1721	honestly	5
1722	repeat	5
1723	orange	5
1724	describe	5
1725	dissappointed	5
1726	stir	5
1727	ass	5
1728	pleasantly	5
1729	furthermore	5
1730	standards	5
1731	definately	5
1732	meet	5
1733	vodka	5
1734	buttery	5
1735	sausages	5
1736	flavorful	5
1737	korean	5
1738	re	5
1739	stairs	5
1740	hummus	5
1741	generous	5
1742	ssd	5
1743	freaking	4
1744	pure	4
1745	forever	4
1746	snap	4
1747	eyes	4
1748	american	4
1749	browser	4
1750	website	4
1751	force	4
1752	crashing	4
1753	ipod	4
1754	writing	4
1755	protection	4
1756	none	4
1757	badly	4
1758	talking	4
1759	updated	4
1760	wallet	4
1761	slowly	4
1762	hold	4
1763	safari	4
1764	touched	4
1765	hooked	4
1766	saved	4
1767	iwork	4
1768	crisp	4
1769	snow	4
1770	leopard	4
1771	x	4
1772	dual	4
1773	behind	4
1774	justify	4
1775	usual	4
1776	cheaply	4
1777	nicely	4
1778	viruses	4
1779	switch	4
1780	burner	4
1781	lasting	4
1782	smoothly	4
1783	pack	4
1784	listen	4
1785	hook	4
1786	firewire	4
1787	feet	4
1788	junk	4
1789	packing	4
1790	crash	4
1791	burn	4
1792	lose	4
1793	dropping	4
1794	ms	4
1795	trial	4
1796	frequently	4
1797	words	4
1798	adding	4
1799	loose	4
1800	lcd	4
1801	printer	4
1802	advertised	4
1803	access	4
1804	powerful	4
1805	edges	4
1806	anybody	4
1807	geek	4
1808	originally	4
1809	actual	4
1810	owned	4
1811	thinking	4
1812	tutorials	4
1813	pop	4
1814	capabilities	4
1815	stinks	4
1816	honest	4
1817	ll	4
1818	nature	4
1819	weak	4
1820	mousepad	4
1821	student	4
1822	jack	4
1823	headphones	4
